基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
040015,华安动态灵活配置混合,混合型,蒋璆,2.0976,2.094,2.707,0.17%,2.20%,-12.75%,16.53%,50.97%,64.36%,222.56%
040016,华安行业轮动混合,混合型,饶晓鹏,2.0177,2.0164,2.7524,0.07%,5.84%,1.77%,11.30%,32.99%,62.84%,209.29%
040018,华安香港精选股票(QDII),QDII,苏圻涵,1.5377,1.54,1.54,-0.15%,6.57%,0.26%,13.82%,20.97%,22.51%,54.00%
040019,华安稳固收益债券C,债券型,郑可成,1.1468,1.146,1.606,0.07%,-0.87%,0.44%,4.95%,6.99%,16.43%,70.92%
040020,华安升级主题混合,混合型,饶晓鹏,1.6302,1.628,2.128,0.14%,6.47%,1.88%,10.82%,32.36%,58.21%,135.41%
040021,华安大中华升级股票,QDII,苏圻涵,1.2908,1.293,1.293,-0.17%,3.77%,-7.51%,-2.86%,5.64%,-5.76%,29.30%
040022,华安可转债债券A,债券型,贺涛,1.3026,1.299,1.299,0.28%,-2.84%,-7.74%,6.65%,9.99%,19.94%,29.90%
040023,华安可转债债券B,债券型,贺涛,1.258,1.255,1.255,0.24%,-2.86%,-7.86%,6.45%,9.51%,18.62%,25.50%
040025,华安科技动力混合,混合型,李欣,3.6058,3.607,4.394,-0.03%,4.95%,-6.29%,14.11%,22.85%,37.64%,354.62%
040026,华安信用四季红债券A,债券型,苏玉平,1.0691,1.069,1.501,0.01%,-0.83%,1.03%,3.15%,5.32%,15.84%,60.94%
040035,华安逆向策略混合,混合型,崔莹,3.6862,3.685,4.065,0.03%,0.00%,-8.10%,15.73%,48.35%,49.25%,422.55%
040036,华安安心收益债券A,债券型,郑可成,1.1368,1.137,1.674,-0.02%,-1.39%,-0.96%,7.08%,8.87%,25.05%,84.19%
040037,华安安心收益债券B,债券型,郑可成,1.1308,1.131,1.672,-0.01%,-1.39%,-1.05%,6.94%,8.56%,23.22%,83.49%
040040,华安纯债债券A,债券型,苏玉平,1.0771,1.077,1.3583,0.01%,-0.28%,1.08%,2.90%,5.07%,17.60%,40.06%
040041,华安纯债债券C,债券型,苏玉平,1.0759,1.0758,1.3402,0.01%,-0.32%,0.98%,2.69%,4.69%,16.38%,37.78%
040045,华安添鑫中短债A,债券型,马晓璇,1.047,1.0469,1.3223,0.01%,0.03%,2.08%,3.03%,4.39%,-1.29%,33.27%
040046,华安纳斯达克100指数,QDII-指数,倪斌,3.0331,3.011,3.011,0.73%,7.65%,8.86%,14.70%,33.41%,66.45%,201.10%
040047,华安纳斯达克100指数现钞,QDII-指数,倪斌,0.4254,0.4223,0.4223,0.73%,6.91%,7.07%,13.16%,29.10%,60.39%,161.00%
040048,华安纳斯达克100指数现汇,QDII-指数,倪斌,0.4254,0.4223,0.4223,0.73%,6.91%,7.07%,13.16%,29.10%,60.39%,161.00%
040180,华安上证180ETF联接,联接基金,许之彦,1.4103,1.3981,1.3981,0.87%,0.36%,-4.92%,-3.45%,2.47%,11.72%,39.81%
040190,华安上证龙头ETF联接,联接基金,苏卿云,1.2677,1.266,1.266,0.13%,1.61%,-6.01%,2.26%,5.06%,-0.94%,26.60%
050001,博时价值增长混合,混合型,金晟哲,0.9656,0.963,3.465,0.27%,1.05%,-3.31%,12.50%,27.72%,25.88%,409.87%
050002,博时沪深300指数A,股票指数,桂征辉,1.4747,1.4641,3.4769,0.72%,0.44%,-5.36%,-0.46%,8.07%,20.27%,377.11%
050004,博时精选混合A,混合型,李权胜,2.0418,2.0417,3.8214,0.01%,4.16%,-5.09%,13.76%,30.06%,22.89%,537.19%
050006,博时稳定价值债券B,债券型,邓欣雨,1.6141,1.613,1.974,0.07%,-0.43%,0.62%,3.27%,6.05%,12.09%,122.19%
050007,博时平衡配置混合,混合型,刘思甸,1.0823,1.081,2.596,0.12%,2.95%,-3.91%,9.77%,24.39%,31.87%,229.26%
050008,博时第三产业混合,混合型,李佳,0.8665,0.869,3.148,-0.29%,2.00%,5.21%,16.49%,27.05%,14.95%,52.34%
