基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
000001,华夏成长混合,混合型,董阳阳,1.1789,1.181,3.642,-0.18%,2.07%,-1.17%,13.45%,15.77%,22.36%,577.26%
000003,中海可转债债券A,债券型,彭海平,0.7455,0.741,0.951,0.61%,-4.63%,-13.43%,0.95%,4.81%,-3.14%,-12.88%
000004,中海可转债债券C,债券型,彭海平,0.7454,0.74,0.95,0.73%,-4.76%,-13.45%,0.82%,4.67%,-3.77%,-13.00%
000005,嘉实增强信用定期债券,定开债券,刘宁,1.0461,1.046,1.388,0.01%,-0.66%,1.27%,4.46%,8.56%,22.31%,45.42%
000006,西部利得量化成长混合,混合型,盛丰衍,1.4108,1.4159,1.4159,-0.36%,4.49%,0.79%,26.32%,46.06%,--,41.59%
000008,嘉实中证500ETF联接A,联接基金,何如,1.4442,1.4446,1.5106,-0.03%,2.12%,-6.20%,8.68%,8.17%,-5.27%,51.89%
000011,华夏大盘精选混合,混合型,陈伟彦,13.9019,13.891,18.831,0.08%,4.39%,-0.71%,2.48%,9.47%,32.59%,2472.87%
000014,华夏聚利债券,债券型,何家琪,1.2996,1.299,1.299,0.05%,-3.13%,-6.01%,5.95%,10.74%,14.35%,29.90%
000015,华夏纯债债券A,债券型,柳万军,1.2562,1.256,1.369,0.01%,-0.32%,1.21%,3.06%,5.51%,17.72%,37.97%
000016,华夏纯债债券C,债券型,柳万军,1.2242,1.224,1.33,0.01%,-0.33%,1.07%,2.81%,5.07%,16.11%,33.85%
000017,财通可持续混合,混合型,夏钦,1.6685,1.678,2.772,-0.57%,4.29%,-4.35%,10.31%,37.03%,49.65%,219.39%
000020,景顺长城品质投资混合,混合型,詹成,2.8482,2.851,3.019,-0.10%,3.00%,-3.52%,21.63%,55.37%,71.25%,210.65%
000021,华夏优势增长混合,混合型,郑晓辉,1.9969,1.999,3.169,-0.11%,3.36%,-9.79%,11.18%,34.98%,24.16%,309.37%
000024,大摩双利增强债券A,债券型,张雪,1.2263,1.226,1.49,0.02%,-0.33%,0.08%,2.42%,4.97%,16.23%,53.08%
000025,大摩双利增强债券C,债券型,张雪,1.2033,1.203,1.467,0.02%,-0.33%,0.00%,2.21%,4.61%,14.83%,50.43%
000028,华富安鑫债券,债券型,张惠,1.0584,1.0574,1.4354,0.09%,-1.08%,-4.22%,1.20%,4.90%,9.09%,47.80%
000029,富国宏观策略灵活配置混合,混合型,袁宜,2.4343,2.436,2.631,-0.07%,2.78%,-4.25%,22.60%,43.80%,79.78%,183.15%
000030,长城核心优选混合,混合型,雷俊,1.1991,1.1977,2.2173,0.12%,-3.57%,-3.88%,4.81%,14.09%,19.17%,121.73%
000031,华夏复兴混合,混合型,周克平,2.4499,2.457,2.457,-0.29%,8.33%,-7.60%,28.10%,72.54%,40.24%,145.70%
000032,易方达信用债债券A,债券型,胡剑,1.1241,1.124,1.424,0.01%,-0.53%,1.43%,3.45%,5.89%,17.97%,44.04%
000033,易方达信用债债券C,债券型,胡剑,1.1192,1.119,1.388,0.02%,-0.62%,1.26%,3.19%,5.47%,16.90%,40.16%
000037,广发景宁债券,债券型,温秀娟,1.0068,1.0067,1.0067,0.01%,-0.07%,--,--,--,--,0.67%
000039,农银高增长混合,混合型,张燕,2.4723,2.481,2.481,-0.35%,6.08%,-5.11%,25.92%,51.10%,38.80%,148.10%
000041,华夏全球股票(QDII),QDII,李湘杰,1.1108,1.097,1.097,1.26%,7.23%,5.89%,7.02%,14.75%,15.96%,9.70%
000042,中证财通可持续发展100指数A,股票指数,吴迪,1.2769,1.2764,1.7652,0.04%,-0.88%,-7.15%,-2.36%,4.36%,17.92%,76.17%
000043,嘉实美国成长股票人民币,QDII,张自力,2.3143,2.268,2.268,2.04%,7.34%,3.80%,6.08%,19.12%,44.09%,126.80%
000044,嘉实美国成长股票美元现汇,QDII,张自力,1.9796,1.94,1.94,2.04%,6.59%,2.11%,4.70%,15.20%,38.08%,94.00%
000045,工银产业债债券A,债券型,何秀红,1.4878,1.487,1.638,0.06%,-0.40%,0.00%,3.19%,7.44%,21.29%,66.97%
000046,工银产业债债券B,债券型,何秀红,1.4544,1.454,1.594,0.03%,-0.41%,-0.07%,3.05%,7.07%,20.07%,62.17%
000047,华夏双债债券A,债券型,柳万军,1.3928,1.393,1.613,-0.01%,-1.69%,-2.25%,8.83%,14.18%,22.84%,67.16%
000048,华夏双债债券C,债券型,柳万军,1.371,1.37,1.585,0.07%,-1.72%,-2.35%,8.64%,13.79%,21.89%,63.91%
000049,中银标普全球资源等权重指数,QDII-指数,陈学林,1.0028,0.996,0.996,0.68%,8.85%,-6.65%,-10.83%,-1.78%,-0.30%,-0.40%
000051,华夏沪深300ETF联接A,联接基金,张弘弢,1.2964,1.2906,1.2906,0.45%,0.75%,-5.52%,-0.65%,7.46%,15.54%,29.06%
000053,鹏华永诚一年定开债券,定开债券,刘涛,1.0301,1.0299,1.6014,0.02%,-0.10%,0.91%,2.45%,5.91%,19.23%,60.90%
000054,鹏华双债增利债券,债券型,刘太阳,1.237,1.2368,1.4638,0.01%,-0.39%,-2.97%,4.20%,7.63%,17.34%,49.72%
000055,广发纳斯达克100美元现汇A,QDII-指数,刘杰,0.4173,0.4143,0.4542,0.73%,6.86%,4.17%,9.37%,25.28%,57.23%,118.80%
000056,建信消费升级混合,混合型,邱宇航,2.3139,2.314,2.314,0.00%,4.23%,2.89%,10.88%,28.20%,35.64%,131.40%
000057,中银消费主题混合,混合型,钱亚风云,1.6923,1.699,1.699,-0.40%,5.20%,7.40%,13.34%,23.74%,29.89%,69.90%
000058,国联安安泰灵活配置混合,混合型,林渌,1.2073,1.2035,1.41,0.32%,0.15%,-1.33%,0.94%,15.36%,21.57%,41.00%
000059,国联安中证医药100A,股票指数,黄欣,1.1432,1.144,1.704,-0.07%,1.41%,7.48%,22.80%,33.83%,20.29%,75.53%
000061,华夏盛世混合,混合型,代瑞亮,0.7973,0.799,0.799,-0.22%,1.52%,-11.02%,20.69%,34.06%,-16.68%,-20.10%
000063,长盛电子信息主题灵活配置混合,混合型,钱文礼,1.6158,1.618,1.618,-0.13%,0.50%,-17.78%,11.51%,38.17%,-2.76%,61.80%
000064,大摩18个月定开债,定开债券,李轶,1.0673,1.068,1.567,-0.07%,0.00%,1.49%,3.71%,6.25%,21.75%,70.85%
000065,国富焦点驱动混合,混合型,赵晓东,1.6382,1.638,1.803,0.01%,-0.12%,-0.12%,2.25%,9.64%,20.26%,85.37%
000066,诺安鸿鑫混合,混合型,罗春蕾,1.2191,1.2181,1.7192,0.08%,1.04%,-0.66%,2.98%,11.04%,20.60%,71.92%
000067,民生加银转债优选A,债券型,邱世磊,0.7742,0.773,1.173,0.15%,-1.90%,-7.65%,8.57%,18.56%,21.16%,7.35%
000068,民生加银转债优选C,债券型,邱世磊,0.7598,0.759,1.149,0.10%,-1.94%,-7.66%,8.43%,18.22%,19.91%,4.67%
000069,国投瑞银中高等级债券A,债券型,宋璐,1.1102,1.11,1.457,0.02%,-0.63%,0.99%,4.32%,7.19%,18.84%,52.56%
000070,国投瑞银中高等级债券C,债券型,宋璐,1.1093,1.109,1.432,0.03%,-0.63%,0.90%,4.23%,6.91%,17.78%,49.14%
000071,华夏恒生ETF联接A,QDII-指数,徐猛,1.3481,1.3427,1.3427,0.41%,-3.23%,-10.78%,-11.09%,-9.47%,-1.95%,34.27%
000072,华安稳健回报混合,混合型,郑可成,1.1607,1.1603,2.0389,0.04%,1.13%,3.06%,7.04%,8.04%,15.11%,103.89%
000073,上投摩根成长动力混合,混合型,刘辉,1.7495,1.753,1.753,-0.20%,7.74%,-2.93%,25.21%,65.38%,57.64%,75.30%
000074,工银信用纯债一年定开债A,定开债券,何秀红,1.5411,1.541,1.541,0.00%,0.39%,2.32%,3.77%,6.35%,20.11%,54.10%
000075,华夏恒生ETF联接现汇,QDII-指数,徐猛,0.189,0.1889,0.1889,-0.34%,-3.72%,-11.85%,-12.02%,-12.22%,-5.22%,19.56%
000076,华夏恒生ETF联接现钞,QDII-指数,徐猛,--,--,--, ,2.17%,8.05%,33.45%,33.45%,34.52%,49.02%
000077,工银信用纯债一年定开债C,定开债券,何秀红,1.4982,1.498,1.498,0.02%,0.33%,2.18%,3.60%,5.94%,18.70%,49.80%
000078,工银信用纯债两年定开债A,定开债券,朱晨杰,1.3941,1.395,1.395,-0.07%,0.07%,1.75%,3.72%,6.49%,17.13%,39.50%
000079,工银信用纯债两年定开债C,定开债券,朱晨杰,1.3581,1.359,1.359,-0.07%,0.07%,1.65%,3.50%,6.09%,15.76%,35.90%
000080,天治可转债增强债券A,债券型,王洋,1.3061,1.305,1.305,0.08%,-4.04%,-5.78%,1.56%,14.17%,22.65%,30.50%
000081,天治可转债增强债券C,债券型,王洋,1.273,1.272,1.272,0.08%,-4.14%,-5.92%,1.27%,13.67%,21.03%,27.20%
000082,嘉实研究阿尔法股票,股票型,张露,1.2928,1.288,2.123,0.37%,3.62%,-1.53%,9.43%,24.35%,40.30%,151.69%
000083,汇添富消费行业混合,混合型,胡昕炜,5.4452,5.455,5.455,-0.18%,9.52%,14.05%,18.43%,41.50%,115.61%,445.50%
000084,博时安盈债券A,债券型,黄海峰,1.2712,1.2712,1.3072,0.00%,0.04%,1.00%,2.26%,4.03%,13.50%,31.63%
000085,博时安盈债券C,债券型,黄海峰,1.2408,1.2406,1.2726,0.02%,0.01%,0.92%,2.10%,3.72%,12.37%,27.98%
000086,南方稳利1年定开债A,定开债券,何康,1.0471,1.047,1.363,0.01%,-0.44%,1.27%,4.23%,6.77%,15.43%,42.00%
000087,嘉实中证金边国债ETF联接A,联接基金,王亚洲,1.0679,1.0677,1.0677,0.01%,-1.77%,0.02%,1.27%,1.12%,0.31%,6.77%
000088,嘉实中证金边国债ETF联接C,联接基金,王亚洲,1.0634,1.0632,1.0632,0.01%,-1.79%,-0.05%,1.12%,1.06%,0.41%,6.32%
000091,信诚新双盈分级债券,债券型,杨立春,0.9992,0.999,--,0.02%,-8.60%,-7.76%,-2.92%,-0.10%,2.12%,41.78%
000093,信诚新双盈分级债券B,分级杠杆,杨立春,0.9955,0.995,1.599,0.05%,-0.66%,1.17%,16.52%,26.09%,14.82%,60.96%
000103,国泰中国企业境外高收益债,QDII,吴向军,--,1.4219,1.4219, ,3.10%,-4.92%,-3.91%,-0.29%,3.56%,42.19%
000104,华宸未来稳健添利债券A,债券型,应晓立,1.1323,1.1321,1.3421,0.01%,-0.58%,0.57%,2.31%,5.43%,5.51%,38.11%
000105,建信安心回报债券A,定开债券,闫晗,1.3733,1.373,1.383,0.02%,0.07%,1.33%,3.23%,6.11%,17.05%,38.66%
000106,建信安心回报债券C,定开债券,闫晗,1.3363,1.336,1.346,0.02%,0.07%,1.29%,3.09%,5.78%,15.77%,34.92%
000107,富国稳健增强债券A/B,债券型,俞晓斌,1.2144,1.214,1.512,0.03%,-0.65%,0.66%,4.30%,8.01%,20.32%,61.06%
000109,富国稳健增强债券C,债券型,俞晓斌,1.1955,1.195,1.476,0.04%,-0.67%,0.59%,4.09%,7.56%,18.79%,56.25%
000110,金鹰元安混合A,混合型,林龙军,1.228,1.2257,1.5404,0.19%,-0.11%,-2.05%,0.32%,5.17%,17.36%,54.04%
000111,易方达纯债1年定开债A,定开债券,李一硕,1.0573,1.057,1.408,0.02%,-0.19%,1.54%,3.51%,5.43%,18.89%,46.72%
000112,易方达纯债1年定开债C,定开债券,李一硕,1.0552,1.055,1.383,0.02%,-0.19%,1.44%,3.32%,5.03%,17.90%,43.55%
000113,嘉实如意宝定期债券A/B,定开债券,刘宁,1.1773,1.177,1.41,0.02%,-0.42%,1.12%,3.34%,5.20%,15.46%,44.94%
000115,嘉实如意宝定期债券C,定开债券,刘宁,1.1613,1.161,1.377,0.02%,-0.43%,1.04%,3.20%,4.88%,14.11%,41.11%
000116,嘉实丰益纯债定期债券,定开债券,轩璇,1.0331,1.0329,1.3773,0.02%,0.05%,1.86%,4.13%,6.29%,17.95%,44.70%
000117,广发轮动配置混合,混合型,吴兴武,2.2383,2.238,2.238,0.01%,6.98%,5.62%,17.54%,40.75%,39.70%,123.80%
000118,广发聚鑫债券A,债券型,张芊,1.4378,1.437,2.001,0.05%,-0.48%,-1.75%,10.07%,21.17%,35.64%,116.13%
000119,广发聚鑫债券C,债券型,张芊,1.4338,1.433,1.975,0.05%,-0.49%,-1.82%,9.88%,20.75%,34.40%,112.26%
000120,中银美丽中国混合,混合型,严菲,1.6154,1.62,1.655,-0.29%,4.18%,-2.06%,14.57%,31.71%,33.44%,67.55%
000121,华夏永福混合A,混合型,何家琪,1.8835,1.88,1.88,0.19%,-0.58%,-3.84%,7.43%,17.94%,25.25%,88.00%
000122,汇添富实业债债券A,债券型,曾刚,1.2219,1.22,1.494,0.15%,-0.33%,-0.97%,4.54%,7.49%,14.66%,55.76%
000123,汇添富实业债债券C,债券型,曾刚,1.1818,1.18,1.454,0.15%,-0.34%,-1.09%,4.33%,7.08%,13.24%,51.10%
000124,华宝服务优选混合,混合型,代云锋,2.2789,2.288,2.588,-0.40%,5.05%,-4.15%,24.01%,47.61%,43.63%,149.64%
000126,招商安润混合,混合型,钟贇,1.646,1.6456,1.9896,0.03%,2.73%,-6.40%,27.29%,57.72%,63.25%,121.17%
000127,农银行业领先混合,混合型,张峰,2.6637,2.667,3.0615,-0.12%,2.62%,-0.21%,22.60%,43.38%,68.91%,213.04%
000128,大成景安短融债券A,债券型,欧阳亮,1.268,1.2678,1.3728,0.02%,-0.01%,1.01%,2.13%,3.88%,13.52%,37.95%
000129,大成景安短融债券B,债券型,欧阳亮,1.2968,1.2966,1.4016,0.02%,0.02%,1.07%,2.26%,4.19%,14.53%,40.89%
000130,大成景兴信用债债券A,债券型,王立,1.3194,1.3192,1.6192,0.02%,-0.66%,-0.15%,3.11%,5.28%,19.60%,67.20%
000131,大成景兴信用债债券C,债券型,王立,1.2826,1.2824,1.5824,0.02%,-0.69%,-0.25%,2.91%,4.86%,18.19%,63.02%
000136,民生加银策略精选混合,混合型,孙伟,3.2934,3.303,3.664,-0.29%,4.00%,-6.62%,20.50%,58.34%,63.02%,284.57%
000137,民生加银岁岁增利债券A,定开债券,胡振仓,1.1904,1.1903,1.5043,0.01%,-1.47%,1.32%,4.53%,8.42%,22.68%,58.27%
000138,民生加银岁岁增利债券C,定开债券,胡振仓,1.1728,1.1727,1.4717,0.01%,-1.50%,1.22%,4.32%,7.98%,21.31%,54.04%
000139,富国国有企业债债券A/B,债券型,王颀亮,1.0093,1.0091,1.3396,0.02%,-0.04%,0.79%,2.04%,3.79%,13.39%,39.69%
000141,富国国有企业债债券C,债券型,王颀亮,1.0085,1.0084,1.3119,0.01%,-0.08%,0.70%,1.85%,3.37%,12.09%,36.03%
000142,融通增强收益债券A,债券型,余志勇,1.1221,1.1221,1.4074,0.00%,-0.45%,-1.24%,3.05%,6.87%,13.00%,40.74%
000143,鹏华双债加利债券,债券型,王石千,1.5566,1.5569,1.6069,-0.02%,0.11%,-0.28%,6.95%,11.08%,22.34%,63.41%
000147,易方达高等级信用债债券A,债券型,林森,1.1262,1.126,1.415,0.02%,-0.62%,1.05%,3.47%,6.37%,19.99%,44.39%
000148,易方达高等级信用债债券C,债券型,林森,1.1262,1.126,1.405,0.02%,-0.62%,1.05%,3.30%,6.01%,21.05%,43.32%
000149,华安双债添利债券A,债券型,贺涛,1.2654,1.2654,1.5854,0.00%,-0.99%,-0.41%,3.36%,4.60%,17.38%,63.69%
000150,华安双债添利债券C,债券型,贺涛,1.2383,1.2382,1.5582,0.01%,-1.02%,-0.49%,3.18%,4.22%,16.26%,60.52%
000152,大成景旭纯债债券A,债券型,方孝成,1.0718,1.0717,1.4342,0.01%,-1.01%,1.38%,3.31%,5.44%,15.07%,47.57%
000153,大成景旭纯债债券C,债券型,方孝成,1.0674,1.0673,1.4053,0.01%,-1.04%,1.28%,3.11%,5.03%,13.68%,44.09%
000165,国投瑞银策略精选混合,混合型,吉莉,1.9533,1.954,2.698,-0.04%,4.88%,1.56%,18.64%,33.66%,44.46%,219.75%
000166,中海信息产业精选混合,混合型,刘俊,1.5872,1.5897,2.2065,-0.16%,7.04%,-8.64%,27.74%,51.73%,56.78%,120.66%
000167,广发聚优灵活配置混合A,混合型,张东一,1.8915,1.89,2.1,0.08%,4.54%,8.00%,11.64%,45.05%,70.00%,121.86%
000171,易方达裕丰回报债券,债券型,张清华,1.8711,1.869,1.869,0.11%,-0.59%,-0.90%,4.30%,9.23%,26.97%,86.90%
000172,华泰柏瑞量化增强混合A,混合型,田汉卿,1.3936,1.389,2.401,0.33%,0.43%,-4.67%,2.06%,9.37%,15.44%,165.62%
000173,汇添富美丽30混合,混合型,王栩,2.4401,2.439,2.691,0.04%,4.63%,1.50%,6.32%,18.18%,42.17%,172.53%
000174,汇添富高息债债券A,债券型,徐光,1.5944,1.594,1.629,0.02%,-0.69%,0.38%,3.78%,7.05%,15.42%,63.48%
000175,汇添富高息债债券C,债券型,徐光,1.5062,1.506,1.541,0.01%,-0.73%,0.27%,3.58%,6.66%,11.06%,54.52%
000176,嘉实沪深300指数研究增强,股票指数,龙昌伦,1.4156,1.4147,1.4147,0.06%,0.83%,-5.26%,0.05%,11.74%,25.35%,41.47%
000179,广发美国房地产指数,QDII-指数,刘杰,1.0038,0.984,1.417,2.01%,6.26%,-20.07%,-20.48%,-14.91%,-4.62%,42.50%
000180,广发美国房地产指数现汇,QDII-指数,刘杰,0.1408,0.138,0.2037,2.01%,5.50%,-21.37%,-21.54%,-17.67%,-8.14%,23.53%
000181,景顺长城四季金利债券A,债券型,袁媛,1.2153,1.215,1.397,0.02%,-0.90%,-1.54%,3.14%,5.01%,13.33%,43.61%
000182,景顺长城四季金利债券C,债券型,袁媛,1.1914,1.19,1.366,0.12%,-0.92%,-1.57%,2.94%,4.57%,12.17%,40.13%
000183,嘉实丰益策略定期债券,定开债券,轩璇,1.0011,1.001,1.361,0.01%,-0.45%,0.53%,4.15%,6.75%,12.27%,41.05%
000184,工银添福债券A,债券型,李昱,1.5102,1.51,1.656,0.02%,-1.31%,-3.02%,3.07%,5.15%,3.82%,65.81%
000185,工银添福债券B,债券型,李昱,1.4991,1.499,1.644,0.01%,-1.38%,-3.17%,2.81%,4.68%,4.87%,64.55%
000186,华泰柏瑞季季红债券,债券型,罗远航,1.0572,1.057,1.4132,0.02%,-0.75%,1.10%,4.04%,6.50%,22.07%,48.91%
000187,华泰柏瑞丰盛纯债债券A,债券型,陈东,1.3004,1.3002,1.4385,0.01%,0.24%,1.79%,5.04%,7.02%,22.38%,47.80%
000188,华泰柏瑞丰盛纯债债券C,债券型,陈东,1.2687,1.2685,1.4068,0.01%,0.21%,1.70%,4.83%,6.58%,20.88%,44.29%
000189,易方达丰华债券A,债券型,张清华,1.1309,1.1299,1.2282,0.09%,-0.60%,-3.02%,6.97%,13.59%,20.20%,23.68%
000190,中银新回报灵活配置混合,混合型,李建,1.5673,1.567,1.887,0.02%,0.64%,3.91%,8.14%,19.53%,31.52%,99.96%
000191,富国信用债债券A/B,债券型,黄纪亮,1.1125,1.1123,1.4028,0.02%,-0.30%,1.06%,3.28%,6.07%,19.38%,47.62%
000192,富国信用债债券C,债券型,黄纪亮,1.1065,1.1063,1.3718,0.02%,-0.33%,0.96%,3.07%,5.64%,17.94%,43.41%
000194,银华信用四季红债券A,债券型,邹维娜,1.0951,1.095,1.475,0.01%,-0.45%,1.47%,3.26%,5.68%,17.81%,56.78%
000195,工银成长收益混合A,混合型,张洋,1.2087,1.207,1.642,0.14%,0.92%,0.08%,4.23%,10.94%,21.92%,64.21%
000196,工银成长收益混合B,混合型,张洋,1.1784,1.177,1.57,0.12%,0.86%,-0.08%,3.98%,10.31%,19.49%,57.04%
000197,富国目标收益一年期纯债债券,定开债券,王颀亮,1.1171,1.117,1.39,0.01%,-0.53%,1.55%,4.20%,5.95%,18.20%,45.43%
000199,国泰量化策略收益混合,混合型,高崇南,1.3183,1.3135,1.5545,0.37%,1.05%,-4.00%,2.92%,8.97%,-4.82%,55.45%
000200,博时岁岁增利一年定开债,定开债券,鲁邦旺,1.1362,1.137,1.507,-0.07%,0.35%,1.97%,4.99%,8.08%,18.01%,52.58%
000201,诺安泰鑫一年定开债A,定开债券,岳帅,1.0133,1.014,1.442,-0.07%,0.50%,2.28%,4.27%,6.97%,19.43%,44.24%
000205,易方达投资级信用债债券A,债券型,王晓晨,1.1541,1.154,1.445,0.01%,-0.60%,1.22%,3.45%,6.03%,17.31%,49.91%
000206,易方达投资级信用债债券C,债券型,王晓晨,1.1531,1.153,1.43,0.01%,-0.69%,1.22%,3.28%,5.77%,16.92%,47.93%
000207,建信双债增强债券A,债券型,朱虹,1.2369,1.236,1.246,0.07%,-2.14%,-3.13%,1.64%,1.15%,3.00%,24.82%
000208,建信双债增强债券C,债券型,朱虹,1.2048,1.204,1.214,0.07%,-2.19%,-3.29%,1.43%,0.75%,1.86%,21.59%
000209,信诚新兴产业混合,混合型,王睿,1.5188,1.523,1.523,-0.28%,7.86%,-11.66%,15.82%,39.47%,7.40%,52.30%
000212,泰信鑫益定期开放A,定开债券,何俊春,1.1982,1.199,1.366,-0.07%,-0.66%,1.87%,4.35%,6.11%,15.83%,39.77%
000213,泰信鑫益定期开放C,定开债券,何俊春,1.1782,1.179,1.333,-0.07%,-0.67%,1.81%,4.15%,5.65%,14.46%,35.89%
000214,广发成长优选混合,混合型,代宇,1.4058,1.403,1.579,0.20%,0.32%,-1.59%,3.54%,7.61%,17.25%,58.87%
000215,广发趋势优选灵活配置混合A,混合型,谭昌杰,1.5362,1.5358,1.9348,0.03%,0.32%,1.78%,4.67%,9.24%,27.52%,98.46%
000216,华安黄金易ETF联接A,联接基金,许之彦,1.4285,1.4259,1.4259,0.18%,2.47%,5.12%,17.60%,34.70%,36.87%,42.59%
000217,华安黄金易ETF联接C,联接基金,许之彦,1.4191,1.4169,1.4169,0.15%,2.44%,5.03%,17.41%,34.51%,36.61%,41.69%
000218,国泰黄金ETF联接A,联接基金,艾小军,1.4613,1.4587,1.4587,0.18%,2.44%,4.81%,17.50%,34.21%,36.34%,45.87%
000219,博时裕益混合,混合型,周心鹏,1.6223,1.626,1.878,-0.22%,4.16%,-10.07%,21.25%,29.77%,50.42%,99.89%
000220,富国医疗保健行业混合,混合型,于洋,3.723,3.725,3.725,-0.05%,5.29%,14.97%,38.17%,80.04%,119.76%,272.50%
000221,汇添富年年利定开债A,定开债券,徐光,1.3584,1.358,1.408,0.03%,-0.95%,2.03%,5.27%,8.47%,13.41%,41.43%
000222,汇添富年年利定开债C,定开债券,徐光,1.3213,1.321,1.371,0.02%,-0.97%,1.93%,5.01%,8.01%,12.01%,37.66%
000225,长盛年年收益定期债券A,定开债券,段鹏,1.1871,1.188,1.348,-0.07%,-0.17%,2.32%,4.22%,6.68%,9.81%,35.62%
000226,长盛年年收益定期债券C,定开债券,段鹏,1.1752,1.176,1.323,-0.07%,-0.25%,2.22%,4.06%,6.36%,8.82%,32.97%
000227,华安年年红债券A,定开债券,周益鸣,1.0532,1.054,1.499,-0.08%,-0.94%,1.49%,6.82%,10.22%,23.21%,59.60%
000235,诺安稳固收益一年定开债,定开债券,裴禹翔,1.0273,1.028,1.377,-0.07%,0.39%,1.98%,3.29%,5.64%,18.06%,37.67%
000236,工银月月薪定期支付债券A,债券型,张洋,1.6584,1.658,1.658,0.02%,-0.42%,-0.66%,4.80%,10.98%,15.78%,65.80%
000239,华安年年盈定开债A,定开债券,孙丽娜,1.0441,1.044,1.254,0.01%,-1.42%,2.14%,7.39%,10.56%,23.81%,27.72%
000240,华安年年盈定开债C,定开债券,孙丽娜,1.042,1.042,1.236,0.00%,-1.42%,2.05%,7.09%,10.16%,22.58%,25.62%
000241,宝盈核心优势混合C,混合型,李健伟,1.0625,1.065,2.292,-0.23%,1.51%,-10.94%,29.44%,62.25%,56.31%,167.53%
000242,景顺长城策略精选灵活配置混合,混合型,张靖,1.4694,1.469,2.019,0.03%,9.06%,-6.67%,22.52%,34.28%,35.14%,131.95%
000244,天弘稳利定期开放A,定开债券,柴文婷,1.1841,1.1838,1.5038,0.02%,-1.08%,1.40%,4.77%,8.02%,21.34%,56.77%
000245,天弘稳利定期开放B,定开债券,柴文婷,1.1654,1.1652,1.4689,0.02%,-1.11%,1.30%,4.56%,7.59%,20.01%,52.62%
000246,博时月月薪定期支付债券,定开债券,陈黎,--,1.044,1.633, ,0.38%,2.04%,5.79%,9.77%,21.15%,63.26%
000248,汇添富中证主要消费ETF联接,联接基金,吴振翔,2.2188,2.2184,2.2184,0.02%,1.10%,8.95%,10.96%,23.66%,96.75%,121.84%
000251,工银金融地产混合,混合型,王君正,2.048,2.026,3.07,1.09%,-0.49%,-7.23%,-6.46%,-0.19%,24.55%,230.02%
000252,景顺长城景兴信用纯债债券A,债券型,何江波,1.1542,1.201,1.385,0.02%,-0.33%,0.96%,2.20%,3.47%,11.26%,38.97%
000253,景顺长城景兴信用纯债债券C,债券型,何江波,1.1521,1.167,1.347,0.01%,-0.34%,0.91%,2.01%,3.04%,9.92%,35.09%
000254,长城定开债A,定开债券,蔡旻,1.0962,1.0961,1.4033,0.01%,-0.78%,0.18%,1.18%,2.44%,9.23%,45.66%
000255,长城定开债C,定开债券,蔡旻,1.0963,1.0962,1.3733,0.01%,-0.81%,0.08%,0.98%,2.02%,7.85%,41.86%
000256,上投摩根红利回报混合A,混合型,聂曙光,1.035,1.035,1.39,0.00%,0.10%,-1.96%,4.59%,9.28%,8.03%,44.84%
000259,农银区间收益混合,混合型,魏刚,3.0318,3.0334,3.0334,-0.05%,4.89%,-1.97%,21.82%,41.95%,52.38%,203.34%
000263,工银信息产业混合,混合型,单文,2.2399,2.24,2.517,0.00%,6.06%,-2.74%,21.81%,55.45%,53.01%,161.88%
000264,博时内需增长混合,混合型,刘阳,1.1707,1.175,1.027,-0.37%,0.60%,-1.34%,15.88%,24.73%,36.63%,14.86%
000265,易方达恒久添利1年定开债A,定开债券,藏海涛,1.0111,1.011,1.304,0.01%,0.10%,1.45%,3.76%,6.38%,20.31%,33.19%
000266,易方达恒久添利1年定开债C,定开债券,藏海涛,1.0101,1.01,1.278,0.01%,0.00%,1.36%,3.56%,5.98%,18.88%,30.17%
000267,广发集利一年定开债A,定开债券,代宇,1.1221,1.123,1.551,-0.08%,-0.44%,0.35%,4.29%,6.95%,19.11%,64.50%
000268,广发集利一年定开债C,定开债券,代宇,1.1183,1.119,1.519,-0.06%,-0.53%,0.17%,4.02%,6.50%,17.66%,60.02%
000270,建信灵活配置混合,混合型,牛兴华,1.0797,1.0796,1.649,0.01%,-0.43%,0.20%,2.28%,2.04%,6.89%,64.90%
000271,中邮定开债A,定开债券,武志骁,1.0672,1.068,1.443,-0.08%,0.09%,1.23%,2.89%,4.86%,17.82%,51.61%
000272,中邮定开债C,定开债券,武志骁,1.0663,1.067,1.422,-0.07%,0.00%,1.14%,2.69%,4.47%,16.91%,48.95%
000273,华润元大安鑫灵活配置混合A,混合型,刘宏毅,1.3643,1.3627,2.0847,0.12%,1.02%,-1.90%,2.94%,14.61%,17.66%,107.67%
000274,广发亚太中高收益债券,QDII,孙敏,--,1.347,1.417, ,2.51%,-1.54%,-0.37%,2.98%,8.19%,43.34%
000275,广发亚太中高收益债券现汇,QDII,孙敏,--,0.1889,0.1996, ,1.78%,-3.18%,-1.72%,-0.37%,4.25%,23.37%
000277,博时双月薪定期支付债券,定开债券,陈凯杨,--,1.023,1.735, ,0.19%,2.17%,5.67%,7.56%,20.24%,73.53%
